"TIME","GEO","SEX","MARSTA","AGE","UNIT","Value","Flag and Footnotes"
"2000","Liechtenstein","Females","Persons in registered partnership","Total","Number",":",""
"2000","Liechtenstein","Females","Widowed persons","Total","Number",":",""
"2000","Liechtenstein","Females","Divorced persons","Total","Number",":",""
"2000","Norway","Total","Persons in registered partnership","Total","Number",":",""
"2000","Norway","Total","Widowed persons","Total","Number","279,759",""
"2000","Norway","Total","Divorced persons","Total","Number","281,977",""
"2000","Norway","Males","Persons in registered partnership","Total","Number",":",""
"2000","Norway","Males","Widowed persons","Total","Number","52,382",""
"2000","Norway","Males","Divorced persons","Total","Number","126,347",""
"2000","Norway","Females","Persons in registered partnership","Total","Number",":",""
"2000","Norway","Females","Widowed persons","Total","Number","227,377",""
"2000","Norway","Females","Divorced persons","Total","Number","155,630",""
"2000","Switzerland","Total","Persons in registered partnership","Total","Number",":",""
"2000","Switzerland","Total","Widowed persons","Total","Number","417,215",""
"2000","Switzerland","Total","Divorced persons","Total","Number","412,584",""
"2000","Switzerland","Males","Persons in registered partnership","Total","Number",":",""
"2000","Switzerland","Males","Widowed persons","Total","Number","71,144",""
"2000","Switzerland","Males","Divorced persons","Total","Number","168,235",""
"2000","Switzerland","Females","Persons in registered partnership","Total","Number",":",""
"2000","Switzerland","Females","Widowed persons","Total","Number","346,071",""
"2000","Switzerland","Females","Divorced persons","Total","Number","244,349",""
"2000","Turkey","Total","Persons in registered partnership","Total","Number",":",""
"2000","Turkey","Total","Widowed persons","Total","Number",":",""
"2000","Turkey","Total","Divorced persons","Total","Number",":",""
"2000","Turkey","Males","Persons in registered partnership","Total","Number",":",""
"2000","Turkey","Males","Widowed persons","Total","Number",":",""
"2000","Turkey","Males","Divorced persons","Total","Number",":",""
"2000","Turkey","Females","Persons in registered partnership","Total","Number",":",""
"2000","Turkey","Females","Widowed persons","Total","Number",":",""
"2000","Turkey","Females","Divorced persons","Total","Number",":",""
"2000","San Marino","Total","Persons in registered partnership","Total","Number",":",""
"2000","San Marino","Total","Widowed persons","Total","Number",":",""
"2000","San Marino","Total","Divorced persons","Total","Number",":",""
"2000","San Marino","Males","Persons in registered partnership","Total","Number",":",""
"2000","San Marino","Males","Widowed persons","Total","Number",":",""
"2000","San Marino","Males","Divorced persons","Total","Number",":",""
"2000","San Marino","Females","Persons in registered partnership","Total","Number",":",""
"2000","San Marino","Females","Widowed persons","Total","Number",":",""
"2000","San Marino","Females","Divorced persons","Total","Number",":",""
"2000","Azerbaijan","Total","Persons in registered partnership","Total","Number",":",""
"2000","Azerbaijan","Total","Widowed persons","Total","Number",":",""
"2000","Azerbaijan","Total","Divorced persons","Total","Number",":",""
"2000","Azerbaijan","Males","Persons in registered partnership","Total","Number",":",""
"2000","Azerbaijan","Males","Widowed persons","Total","Number",":",""
"2000","Azerbaijan","Males","Divorced persons","Total","Number",":",""
"2000","Azerbaijan","Females","Persons in registered partnership","Total","Number",":",""
"2000","Azerbaijan","Females","Widowed persons","Total","Number",":",""
"2000","Azerbaijan","Females","Divorced persons","Total","Number",":",""
